"Branch","Product","Year","Color","Sales Quantity","Unit Price","Revenue","Cost","Profit","Customer Satisfaction Rating"
"Japan","BMW i8","2023","Purple","50","42223.05741806","2111152.870903","22804.851123527","970910.31472664","4"
"Canada","BMW 3 Series","2013","Silver","80","64366.902580181","5149352.2064144","27425.267638159","2955330.7953617","4"
"China","BMW 3 Series","2012","Blue","78","66402.465217028","5179392.2869282","32411.425668555","2651301.0847809","2"
"Germany","BMW Z4","2013","Green","41","43814.054555518","1796376.2367762","31598.90650356","50 0821.07013029","1"
"China","BMW 5 Series","2017","Green","169","38337.386087653","6479018.2488134","45341.781750743","-1183742.8670621","4"
"Brazil","BMW 5 Series","2021","White","79","61769.794284299","4879813.7484596","36272.670945121","2014272.743795","4"
"France","BMW X7","2013","Yellow","127","29972.434980142","3806499.242478","20389.83590663","1216990.082336","3"
"USA","BMW 5 Series","2012","Red","159","60972.50220921","9694627.8512644","43419.323592505","2790955.400056","2"
"Australia","BMW M4","2019","Grey","58","43136.518756753","2501918.0878917","40638.892556471","144862.31961637","1"
"UK","BMW 5 Series","2012","Purple","13","51942.770277042","675256.01360154","19693.755319298","419237.19445067","3"
"Canada","BMW 5 Series","2021","Red","101","41922.580278133","4234180.6080914","17974.380756635","2418768.1516713","1"
"Brazil","BMW i8","2019","Grey","21","30178.071377009","633739.49891719","42834.778832244","-265790.85655992","2"
"Germany","BMW X5","2017","Green","77","59029.504725525","4545271.8638654","42076.606354742","1305373.1745503","4"
"Australia","BMW X5","2013","Yellow","76","27690.036684044","2104442.7879874","26730.896986757","72894.616993878","3"
"Australia","BMW 7 Series","2018","Grey","194","29628.052438208","5747842.1730124","20727.146428148","1726775.7659517","4"
"India","BMW Z4","2015","Blue","100","68001.539131289","6800153.9131289","46164.740501769","2183679.8629519","4"
"France","BMW Z4","2022","Black","22","70577.632093799","1552707.9060636","32021.577424995","848233.20271369","1"
"China","BMW M4","2022","Red","147","41363.602462155","6080449.5619368","36655.053586887","692156.68466436","5"
"Brazil","BMW Z4","2016","Green","74","25032.740557528","1852422.8012571","45299.24457742","-1499721.297472","2"
"USA","BMW X3","2019","Orange","170","76591.330754378","13020526.228244","20451.463339488","9543777.4605313","5"
"India","BMW X5","2020","Blue","48","61586.250232767","2956140.0111728","37448.385608658","1158617.5019573","3"
"Japan","BMW X3","2017","Black","16","50805.826252437","812893.22003899","35529.788301458","244416.60721566","4"
"Germany","BMW 5 Series","2020","Grey","12","40294.145747575","483529.7489709","25947.071720182","172164.88832871","1"
"Germany","BMW 7 Series","2011","Red","196","44574.726246158","8736646.344247","17971.305481098","5214270.4699518","3"
"Canada","BMW i3","2017","Grey","181","45022.324982831","8149040.8218924","29693.277962024","2774557.5107661","5"
"Australia","BMW M4","2016","Black","27","79325.090461697","2141777.4424658","25117.489961106","1463605.2135159","1"
"UK","BMW X3","2022","Grey","3","52576.983793369","157730.95138011","43058.28853297","28556.085781197","5"
"UK","BMW 5 Series","2010","Silver","198","24474.190706181","4845889.7598239","49652.097736682","-4985225.592039","1"
"China","BMW X5","2010","Yellow","157","54738.621036739","8593963.502768","38490.509203515","2550953.5578162","4"
"UK","BMW X5","2010","White","136","47725.749558503","6490701.9399564","42118.360563802","762604.90327929","1"
"Canada","BMW M4","2011","Green","27","53223.168564683","1437025.5512464","33640.475058036","528732.72467947","1"
"China","BMW X3","2015","Blue","79","21303.867063792","1683005.4980396","40019.796928694","-1478558.4593272","2"
"USA","BMW 5 Series","2016","Purple","151","41647.332783319","6288747.2502811","39433.506434397","334287.77868726","3"
"France","BMW X3","2017","Yellow","14","45828.108185236","641593.51459331","33200.266476861","176789.78391725","4"
"Brazil","BMW X5","2014","Green","86","54256.725317286","4666078.3772866","18704.786637085","3057466.7264973","4"
"Brazil","BMW X7","2014","Purple","22","49448.936673288","1087876.6068123","38605.678248473","238551.68534592","4"
"USA","BMW 5 Series","2015","Red","83","56125.447429981","4658412.1366884","37042.384973007","1583894.1839289","2"
"India","BMW i8","2015","Red","156","53925.206356649","8412332.1916372","33030.73162046","3259538.0588454","1"
"Canada","BMW X3","2016","Red","32","23614.035946549","755649.15028957","17730.300763294","188279.52586416","4"
"USA","BMW X7","2020","Yellow","38","55474.148809554","2108017.6547631","19076.267950323","1383119.4726508","5"
"Japan","BMW 5 Series","2020","Silver","158","30939.937880389","4888510.1851014","40834.955831429","-1563412.8362645","5"
"Japan","BMW i3","2015","Blue","31","76543.202234977","2372839.2692843","48198.332200245","878690.97107667","4"
"UK","BMW i3","2014","Silver","55","36962.129207617","2032917.1064189","34982.627777214","108872.57867216","2"
"UK","BMW 5 Series","2010","White","125","78484.038846752","9810504.8558441","44298.46061944","4273197.278414","4"
"Australia","BMW 7 Series","2014","White","41","41912.681878279","1718419.9570095","46270.454892791","-178668.69359496","4"
"Canada","BMW X3","2022","Silver","182","47664.967954125","8675024.1676508","18394.071565466","5327303.1427361","4"
"India","BMW M4","2017","Red","112","43841.811482073","4910282.8859922","23973.275148","2225276.0694162","3"
